business_id,sector,region,employees,annual_revenue_gbp,default_risk_category,created_at,opening_credit_score
SME_0032,Healthcare,Midlands,81,253402.12,Low,2023-08-08,642
SME_0033,Manufacturing,London,178,771454.11,Medium,2022-09-23,613
SME_0034,Manufacturing,Scotland,112,400172.11,Medium,2023-08-17,669
SME_0035,Services,South East,30,657071.2,Medium,2022-06-21,628
SME_0036,Retail,Midlands,144,245142.17,Medium,2024-05-21,613
SME_0037,Retail,London,118,269143.42,High,2024-04-16,484
SME_0038,Services,South East,102,353472.29,Low,2022-05-15,677
SME_0039,Retail,Scotland,145,203069.95,Medium,2022-09-12,713
SME_0040,Services,London,181,558553.15,Medium,2024-05-17,563
SME_0041,Manufacturing,North West,66,478785.53,High,2021-11-14,547
SME_0042,Technology,Midlands,84,690229.35,Low,2024-06-27,740
SME_0043,Technology,South East,38,1152044.73,Medium,2021-09-14,622
SME_0044,Manufacturing,Midlands,129,1280001.11,Low,2022-05-14,715
SME_0045,Technology,Scotland,81,247200.47,Medium,2021-08-10,582
SME_0046,Technology,Scotland,69,582390.02,Low,2021-09-21,696
SME_0047,Manufacturing,Midlands,139,210851.98,Low,2023-08-02,605
SME_0048,Manufacturing,Scotland,82,345762.48,Medium,2022-04-15,629
SME_0049,Services,London,93,255758.95,Low,2023-11-20,696
SME_0050,Retail,North West,88,1054089.84,Medium,2023-02-14,519
SME_0051,Retail,North West,52,337607.55,High,2023-10-20,441
SME_0052,Retail,South East,26,226431.83,Medium,2023-01-29,554
SME_0053,Technology,Midlands,165,1042914.4,Low,2021-12-12,714
SME_0054,Services,Midlands,19,46802.21,High,2023-03-24,524
SME_0055,Technology,Scotland,65,77362.47,Medium,2024-03-26,698
SME_0056,Technology,North West,133,644306.23,Medium,2023-07-21,624
SME_0057,Manufacturing,South East,27,384020.35,Low,2022-03-14,638
SME_0058,Services,London,131,315098.07,Medium,2022-12-22,490
SME_0059,Retail,Midlands,146,97595.71,Medium,2022-11-11,517
SME_0060,Retail,Midlands,132,231645.11,High,2023-03-29,529
SME_0061,Services,Midlands,61,1521791.02,Medium,2023-08-24,575
SME_0062,Services,Scotland,4,652470.12,Low,2022-10-01,593
SME_0063,Services,South East,177,413225.99,Medium,2022-08-25,648
SME_0064,Technology,London,65,239276.85,Medium,2021-11-15,583
SME_0065,Services,South East,161,260948.15,Low,2022-09-10,670
SME_0066,Services,North West,40,62659.5,Medium,2021-08-03,597
SME_0067,Services,North West,33,359046.34,High,2022-01-30,554
SME_0068,Manufacturing,North West,155,740754.84,Low,2024-04-09,686
SME_0069,Retail,,188,102275.15,Medium,2023-05-10,646
SME_0070,Manufacturing,North West,172,215825.49,Low,2023-05-18,647
SME_0071,Retail,Midlands,150,137340.12,Medium,2024-06-29,618
SME_0072,Manufacturing,Scotland,50,154048.75,Medium,2023-12-22,597
SME_0073,Technology,North West,182,489045.18,Low,2022-04-09,772
SME_0074,Retail,,133,58900.99,Medium,2023-06-22,558
SME_0075,Retail,Midlands,35,455128.27,High,2024-01-26,559
SME_0076,Manufacturing,Midlands,26,513724.06,High,2023-08-30,523
SME_0077,Manufacturing,Scotland,174,248497.12,Medium,2023-09-13,538
SME_0078,Services,London,55,39527.07,High,2023-12-29,522
SME_0079,Services,North West,153,146726.65,Medium,2024-03-16,615
SME_0080,Technology,London,28,914198.54,Medium,2022-04-07,626
SME_0081,Services,Scotland,56,38288.41,Medium,2022-02-01,641
SME_0082,Manufacturing,North West,57,245525.4,Medium,2023-01-18,580
SME_0083,Technology,London,56,120804.86,High,2022-09-13,581
SME_0084,Retail,South East,135,684163.7,Medium,2021-10-23,619
SME_0085,Retail,,182,211494.92,Low,2022-01-13,633
SME_0086,Retail,London,182,442491.42,Medium,2024-05-29,605
SME_0087,Technology,North West,148,531875.08,Medium,2021-09-17,627
SME_0088,Services,Scotland,41,1558530.25,Medium,2024-04-22,609
SME_0089,Retail,North West,192,288339.5,Medium,2024-06-04,585
SME_0090,Services,North West,108,394101.1,Medium,2023-04-28,543
SME_0091,Retail,Scotland,109,93679.5,Medium,2022-04-26,606
SME_0092,Services,South East,140,959744.0,Low,2024-04-08,602
SME_0093,Manufacturing,Midlands,154,165950.88,High,2023-08-24,566
SME_0094,Manufacturing,Scotland,190,231107.45,Low,2023-09-25,604
SME_0095,Manufacturing,London,116,266440.9,Medium,2023-05-04,496
SME_0096,Services,North West,122,117612.61,Low,2021-08-12,697
SME_0097,Manufacturing,Midlands,149,479473.94,Low,2023-07-14,680
SME_0098,Retail,North West,51,617580.51,Medium,2023-11-22,518
SME_0099,Retail,South East,62,400273.45,Medium,2024-02-23,576
SME_0100,Healthcare,South East,125,82425.39,Medium,2023-12-04,530
SME_0101,Healthcare,South East,13,282462.7,Medium,2024-02-11,532
SME_0102,Services,London,64,596030.46,Medium,2022-10-28,612
SME_0103,Retail,London,143,59600.53,Medium,2023-04-10,526
SME_0104,Healthcare,South East,195,178449.32,Low,2023-01-17,743
SME_0105,Technology,,104,944734.99,Low,2022-01-24,748
SME_0106,Technology,London,80,365220.0,Medium,2022-10-20,552
SME_0107,Manufacturing,Midlands,88,406053.72,Medium,2024-01-18,558
SME_0108,Retail,South East,137,1453514.45,Medium,2023-05-26,566
SME_0109,Retail,Midlands,109,562996.59,Low,2023-08-03,674
SME_0110,Healthcare,London,5,520708.74,Medium,2022-01-30,560
SME_0111,Manufacturing,North West,108,3018433.74,Low,2023-08-09,661
SME_0112,Retail,London,80,328766.52,Low,2024-02-05,726
SME_0113,Manufacturing,Midlands,140,141637.89,High,2022-05-07,466
SME_0114,Services,London,175,442908.88,Medium,2023-04-01,635
SME_0115,Retail,North West,192,440645.91,Medium,2024-03-22,544
SME_0116,Technology,Scotland,122,222585.37,Medium,2022-06-25,631
SME_0117,Technology,South East,73,174595.95,Medium,2023-11-20,714
SME_0118,Technology,Midlands,89,2361413.74,Medium,2021-12-16,628
SME_0119,Manufacturing,Midlands,36,309131.1,High,2022-01-24,478
SME_0120,Services,London,187,218192.71,Medium,2023-06-03,678
SME_0121,Services,Midlands,169,712316.02,Medium,2022-11-16,625
SME_0122,Services,Scotland,170,384387.05,Low,2022-11-03,724
SME_0123,Retail,London,66,221018.72,High,2022-08-03,541
SME_0124,Manufacturing,Scotland,65,463387.95,Medium,2024-04-20,548
SME_0125,Retail,,171,124850.19,Medium,2023-07-21,619
SME_0126,Services,North West,109,508818.91,Low,2024-01-02,696
SME_0127,Manufacturing,North West,141,1671491.54,Low,2022-06-17,653
SME_0128,Retail,South East,98,331006.53,High,2024-04-20,470
SME_0129,Retail,North West,89,245225.24,Medium,2022-12-27,579
SME_0130,Services,North West,126,208730.87,Medium,2022-05-16,544
SME_0131,Retail,South East,162,240747.49,Medium,2021-09-22,586
SME_0132,Healthcare,London,67,257221.15,High,2023-08-29,558
SME_0133,Services,South East,162,283229.29,Low,2024-06-24,688
SME_0134,Manufacturing,Midlands,49,591466.9,High,2022-05-20,555
SME_0135,Services,North West,81,73024.75,Medium,2024-07-01,538
SME_0136,Retail,South East,182,720929.15,Low,2024-04-22,674
SME_0137,Healthcare,Scotland,190,297886.72,Low,2021-08-08,731
SME_0138,Services,London,184,465584.75,Medium,2021-12-23,620
SME_0139,Technology,Midlands,63,174745.25,Low,2022-06-06,713
SME_0140,Retail,Scotland,168,878981.77,Medium,2022-01-20,597
SME_0141,Services,South East,187,1007439.2,Medium,2024-04-13,651
SME_0142,Services,South East,195,826651.48,Low,2024-03-29,672
SME_0143,Healthcare,Scotland,5,97951.91,Medium,2023-08-16,584
SME_0144,Services,South East,149,739832.71,Low,2024-06-07,643
SME_0145,Services,Scotland,199,485638.06,Medium,2021-11-25,587
SME_0146,Retail,Scotland,153,83465.25,High,2024-05-03,570
SME_0147,Manufacturing,South East,47,372868.33,Medium,2022-11-28,644
SME_0148,Services,North West,152,427112.1,High,2022-01-01,655
SME_0149,Manufacturing,Scotland,21,321530.72,High,2022-05-08,394
SME_0150,Retail,Scotland,96,442401.08,Low,2023-10-25,638
SME_0151,Technology,North West,125,591495.87,Low,2023-02-15,800
SME_0152,Healthcare,North West,91,1160867.03,Medium,2022-11-24,670
SME_0153,Retail,Scotland,140,602689.48,High,2022-04-03,451
SME_0154,Services,London,48,32762.78,Low,2023-04-03,601
SME_0155,Retail,London,121,232580.89,Medium,2023-09-02,506
SME_0156,Services,,129,305870.52,Medium,2022-03-04,603
SME_0157,Manufacturing,Scotland,127,71152.77,High,2021-11-27,510
SME_0158,Services,North West,58,392525.76,Low,2023-01-26,594
SME_0159,Technology,South East,61,1033407.35,Medium,2024-06-03,667
SME_0160,Technology,Midlands,52,113470.23,High,2023-01-14,455
SME_0161,Retail,North West,92,444603.02,Medium,2021-11-24,574
SME_0162,Healthcare,North West,117,216641.75,Low,2021-08-09,749
SME_0163,Retail,London,73,181200.82,Medium,2023-04-30,546
SME_0164,Retail,Midlands,82,939527.73,High,2024-01-24,546
SME_0165,Services,Midlands,57,216290.17,Medium,2022-10-29,607
SME_0166,Manufacturing,South East,44,501132.02,Medium,2022-01-26,639
SME_0167,Technology,South East,131,61943.29,High,2021-09-25,539
SME_0168,Technology,South East,163,1710353.91,Low,2024-05-08,700
SME_0169,Manufacturing,Scotland,58,493645.11,High,2023-08-27,559
SME_0170,Healthcare,Scotland,172,394491.64,Low,2023-02-07,778
SME_0171,Manufacturing,Midlands,114,519358.46,Medium,2024-03-19,604
SME_0172,Services,North West,34,130632.96,Low,2021-11-27,700
SME_0173,Retail,London,73,642944.41,High,2024-03-04,472
SME_0174,Healthcare,Midlands,2,286533.64,Low,2022-07-22,643
SME_0175,Retail,London,8,256298.23,Medium,2021-10-24,534
SME_0176,Retail,Scotland,67,175015.97,High,2022-06-30,506
SME_0177,Manufacturing,Midlands,91,212349.54,Medium,2022-04-08,603
SME_0178,Healthcare,London,159,751000.76,Low,2023-09-25,718
SME_0179,Healthcare,Midlands,27,423161.45,Medium,2022-01-29,598
SME_0180,Technology,South East,167,484056.09,Medium,2023-04-12,504
SME_0181,Healthcare,Scotland,47,357937.46,Medium,2024-04-28,661
SME_0182,Healthcare,South East,28,489187.14,Medium,2023-06-06,588
SME_0183,Services,South East,140,246926.36,Medium,2023-06-24,594
SME_0184,Manufacturing,South East,155,2033112.19,Medium,2022-12-23,630
SME_0185,Technology,Midlands,121,78656.94,Medium,2023-09-23,505
SME_0186,Services,South East,24,726206.68,High,2023-02-24,468
SME_0187,Manufacturing,South East,23,1001662.56,Low,2023-04-02,627
SME_0188,Retail,South East,78,140798.19,High,2023-07-19,509
SME_0189,Technology,Midlands,90,1324039.79,High,2022-06-19,434
SME_0190,Retail,Midlands,199,818596.9,Low,2023-08-11,649
SME_0191,Healthcare,Scotland,58,812032.77,Low,2022-04-05,683
SME_0192,Retail,South East,39,265972.1,High,2023-10-08,497
SME_0193,Retail,South East,189,224453.07,High,2021-12-20,476
SME_0194,Technology,Scotland,31,329883.95,Low,2023-06-08,691
SME_0195,Retail,,6,413705.37,High,2024-05-20,544
SME_0196,Retail,Scotland,85,1282065.24,Low,2024-01-24,763
SME_0197,Services,North West,80,419247.32,Medium,2022-02-21,639
SME_0198,Healthcare,Scotland,124,189625.07,Medium,2021-12-12,626
SME_0199,Retail,Midlands,175,615550.2,Medium,2023-11-19,587
SME_0200,Manufacturing,Midlands,186,812565.74,Medium,2022-09-27,725
SME_0201,Technology,London,58,650344.29,Low,2022-10-27,710
SME_0202,Healthcare,Midlands,196,800638.25,Low,2024-02-10,794
SME_0203,Services,North West,126,269288.73,Medium,2023-03-07,575
SME_0204,Retail,Midlands,14,127153.72,High,2022-06-21,530
SME_0205,Retail,South East,187,152948.68,Medium,2021-09-02,543
SME_0206,Retail,London,28,88878.31,Low,2022-01-07,598
SME_0207,Retail,Scotland,118,463891.14,Medium,2024-03-20,637
SME_0208,Services,Scotland,158,322391.95,Low,2023-10-22,598
SME_0209,Retail,South East,50,194390.87,High,2023-03-23,503
SME_0210,Services,South East,54,33093.03,Medium,2024-01-23,647
SME_0211,Services,Scotland,95,124812.89,Medium,2022-10-31,626
SME_0212,Services,North West,177,999533.99,Low,2024-06-23,709
SME_0213,Retail,North West,45,110779.31,High,2024-03-03,363
SME_0214,Technology,Scotland,133,434344.39,Medium,2024-05-13,580
SME_0215,Technology,London,91,104500.29,Medium,2023-08-21,559
SME_0216,Technology,Scotland,23,694434.61,High,2022-04-09,462
SME_0217,Retail,Midlands,142,242987.02,High,2023-12-26,544
SME_0218,Retail,Scotland,166,353951.78,High,2021-08-11,552
SME_0219,Healthcare,North West,115,2378688.59,Medium,2023-09-18,631
SME_0220,Manufacturing,Midlands,36,1232833.84,Medium,2024-05-15,576
SME_0221,Manufacturing,Midlands,31,238566.28,Medium,2023-07-10,515
SME_0222,Services,South East,85,188873.69,Low,2022-04-24,593
SME_0223,Services,Midlands,101,268063.86,Medium,2024-03-10,609
SME_0224,Healthcare,London,110,621583.03,Low,2024-04-17,691
SME_0225,Manufacturing,North West,49,254298.19,High,2022-01-06,561
SME_0226,Healthcare,North West,100,248749.61,Medium,2022-10-08,641
SME_0227,Retail,South East,59,1051712.3,Medium,2023-07-01,588
SME_0228,Services,North West,137,319000.07,Medium,2022-04-15,614
SME_0229,Services,South East,159,2459998.43,Low,2022-01-11,675
SME_0230,Retail,Scotland,130,338600.15,Medium,2023-06-14,579
SME_0231,Retail,Midlands,1,1327455.96,Medium,2022-11-10,618
SME_0232,Manufacturing,South East,198,411716.09,Medium,2024-06-21,576
SME_0233,Healthcare,Midlands,5,757698.97,Medium,2023-08-10,641
SME_0234,Services,Midlands,199,204246.76,Medium,2022-10-05,671
SME_0235,Healthcare,South East,7,155736.1,Medium,2023-12-05,535
SME_0236,Technology,South East,103,403093.96,High,2021-08-07,542
SME_0237,Services,Midlands,22,793681.68,Medium,2021-08-28,628
SME_0238,Technology,North West,19,334449.86,Medium,2023-10-01,523
SME_0239,Retail,South East,136,95925.28,High,2023-05-05,455
SME_0240,Retail,North West,145,105941.13,Medium,2023-12-13,547
SME_0241,Technology,London,24,128981.44,Low,2023-01-10,710
SME_0242,Technology,North West,195,63848.12,Medium,2024-02-21,503
SME_0243,Retail,London,64,249815.49,High,2023-05-11,458
SME_0244,Services,South East,64,745486.73,Medium,2022-11-16,605
SME_0245,Services,London,60,396832.75,Low,2022-09-17,661
SME_0246,Healthcare,South East,92,62591.12,Low,2022-10-03,665
SME_0247,Services,London,36,314724.69,Medium,2023-11-09,653
SME_0248,Manufacturing,Scotland,85,243936.46,Medium,2022-03-08,503
SME_0249,Manufacturing,Midlands,42,1436497.33,High,2022-06-23,509
SME_0250,Manufacturing,South East,11,103157.84,Medium,2022-04-19,555
SME_0251,Services,Midlands,74,253267.45,Low,2023-02-18,652
SME_0252,Healthcare,North West,134,1570716.52,Low,2021-11-20,676
SME_0253,Manufacturing,London,152,481782.56,Medium,2023-05-12,653
SME_0254,Retail,Scotland,71,493929.39,Medium,2022-02-21,572
SME_0255,Retail,South East,65,337151.55,Medium,2023-11-28,589
SME_0256,Technology,South East,157,542757.42,Low,2023-10-12,713
SME_0257,Technology,Midlands,136,770125.71,Low,2022-12-17,709
SME_0258,Retail,Midlands,166,129370.27,High,2022-11-16,464
SME_0259,Retail,Scotland,181,446142.6,High,2022-04-26,445
SME_0260,Services,Scotland,164,135599.65,Low,2023-08-19,709
SME_0261,Retail,Scotland,187,501209.08,Medium,2021-12-12,651
SME_0262,Technology,London,83,349908.54,High,2023-07-16,554
SME_0263,Manufacturing,North West,79,149291.11,High,2022-12-09,460
SME_0264,Retail,Midlands,64,299101.45,Medium,2021-10-09,616
SME_0265,Healthcare,Midlands,47,239574.76,Low,2022-12-03,681
SME_0266,Retail,South East,150,172078.73,Low,2022-07-04,738
SME_0267,Manufacturing,North West,143,275301.17,Low,2021-11-03,638
SME_0268,Retail,Midlands,160,126113.19,Medium,2021-08-25,566
SME_0269,Retail,South East,34,324159.03,High,2023-01-15,450
SME_0270,Retail,Midlands,98,122930.64,Medium,2023-04-13,553
SME_0271,Retail,Scotland,45,496979.94,High,2023-12-05,531
SME_0272,Retail,Midlands,178,108329.17,Medium,2022-12-05,562
SME_0273,Retail,London,54,250921.47,Low,2021-10-24,690
SME_0274,Services,Scotland,29,247064.67,Low,2023-01-28,736
SME_0275,Services,Scotland,114,1155917.3,Low,2023-06-26,708
SME_0276,Manufacturing,South East,175,402419.95,Medium,2024-03-10,605
SME_0277,Manufacturing,Midlands,183,329122.61,Medium,2023-05-12,676
SME_0278,Services,South East,20,532804.34,Low,2023-10-23,692
SME_0279,Healthcare,North West,65,70621.29,Low,2021-08-22,653
SME_0280,Technology,London,31,398160.16,Low,2022-12-16,689
SME_0281,Retail,North West,62,1629046.27,Low,2024-02-07,563
SME_0282,Retail,Scotland,107,383748.06,Low,2024-04-21,673
SME_0283,Retail,Midlands,56,346527.57,Medium,2022-01-04,612
SME_0284,Retail,Scotland,14,471608.26,Medium,2021-10-10,550
SME_0285,Services,Midlands,102,565773.14,Medium,2022-04-08,551
SME_0286,Manufacturing,North West,11,63675.93,Medium,2024-02-21,590
SME_0287,Retail,Scotland,46,70081.76,Medium,2024-03-19,559
SME_0288,Manufacturing,Scotland,1,297845.28,High,2023-12-04,446
SME_0289,Services,Midlands,18,225955.97,Low,2022-04-21,685
SME_0290,Retail,Midlands,87,1106566.37,Low,2022-04-06,662
SME_0291,Technology,Scotland,170,350461.01,Low,2022-01-18,713
SME_0292,Retail,Scotland,155,70969.89,Medium,2024-03-21,626
SME_0293,Healthcare,Midlands,20,146043.11,Low,2024-01-21,688
SME_0294,Retail,Scotland,7,31800.87,High,2021-11-12,553
SME_0295,Technology,Midlands,68,302685.03,Low,2021-10-13,702
SME_0296,Healthcare,Scotland,130,294040.3,Medium,2022-05-18,602
SME_0297,Healthcare,London,149,284415.13,Medium,2024-03-11,680
SME_0298,Technology,Scotland,164,901286.78,Medium,2024-04-20,667
SME_0299,Technology,North West,69,743219.21,Medium,2024-05-04,556
SME_0300,Services,South East,34,289829.15,High,2022-06-23,583
SME_0301,Technology,North West,6,60770.5,Medium,2022-01-09,586
SME_0302,Retail,North West,30,617916.68,Low,2022-08-27,686
SME_0303,Services,London,13,571395.37,Low,2023-09-26,654
SME_0304,Services,Midlands,172,470702.33,Medium,2022-04-14,595
SME_0305,Technology,North West,54,798552.3,Low,2024-04-30,611
SME_0306,Services,South East,164,144515.44,Medium,2022-01-28,683
SME_0307,Manufacturing,Scotland,111,1624685.98,Medium,2021-11-21,598
SME_0308,Services,South East,108,142446.84,Medium,2022-05-26,543
SME_0309,Retail,Midlands,91,544690.49,Medium,2021-12-05,547
SME_0310,Retail,London,164,74722.88,Medium,2022-10-14,536
SME_0311,Services,London,9,131338.46,High,2023-02-17,538
SME_0312,Manufacturing,Scotland,19,1129152.35,Medium,2023-07-23,568
SME_0313,Retail,North West,85,262501.03,Medium,2021-10-20,564
SME_0314,Manufacturing,Midlands,79,484972.12,High,2022-06-17,486
SME_0315,Manufacturing,North West,109,397456.28,Low,2023-12-12,590
SME_0316,Manufacturing,North West,147,356373.15,Low,2021-09-13,688
SME_0317,Manufacturing,Midlands,117,1141262.73,Medium,2024-04-30,637
SME_0318,Services,Midlands,52,315401.16,Medium,2022-10-13,674
SME_0319,Manufacturing,North West,66,78392.21,Medium,2023-12-12,615
SME_0320,Healthcare,North West,150,186942.73,Low,2022-07-23,642
SME_0321,Healthcare,London,41,499050.79,Medium,2023-04-18,585
SME_0322,Services,Midlands,101,500140.57,Medium,2023-03-23,640
SME_0323,Manufacturing,Scotland,108,100172.98,Low,2022-07-15,602
SME_0324,Services,Scotland,150,232619.63,Low,2022-04-15,711
SME_0325,Technology,London,143,270448.71,Low,2023-05-23,766
SME_0326,Services,South East,93,255887.51,Low,2021-07-31,609
SME_0327,Technology,Midlands,62,95254.54,Medium,2023-01-16,511
SME_0328,Services,Midlands,74,199931.78,Medium,2024-01-13,582
SME_0329,Services,London,82,198016.3,Medium,2024-06-26,633
SME_0330,Manufacturing,South East,44,574431.33,High,2023-11-29,557
SME_0331,Technology,Midlands,125,643573.77,Medium,2022-06-24,616
SME_0332,Retail,South East,42,272895.97,High,2022-12-03,575
SME_0333,Services,Scotland,130,245642.04,Medium,2023-07-07,625
SME_0334,Healthcare,South East,150,406191.46,Low,2023-02-03,676
SME_0335,Retail,London,192,179533.04,Medium,2022-01-18,640
SME_0336,Services,London,24,125939.28,Medium,2022-10-30,550
SME_0337,Retail,South East,152,156645.08,Medium,2024-05-01,575
SME_0338,Technology,South East,18,214796.68,Medium,2024-05-11,630
SME_0339,Retail,Scotland,68,97285.76,High,2023-02-03,467
SME_0340,Healthcare,London,36,388606.73,Medium,2023-04-27,581
SME_0341,Retail,South East,33,646743.24,Low,2022-01-04,626
SME_0342,Healthcare,Midlands,35,89020.72,Medium,2022-10-18,564
SME_0343,Technology,South East,9,231837.92,High,2022-04-15,434
SME_0344,Services,South East,164,241385.48,High,2022-10-15,527
SME_0345,Technology,South East,13,450386.36,Medium,2023-06-29,641
SME_0346,Technology,North West,80,355013.06,Medium,2022-07-30,639
SME_0347,Healthcare,North West,140,118459.72,Low,2022-09-07,724
SME_0348,Retail,Scotland,198,141797.05,Medium,2022-05-24,681
SME_0349,Services,London,170,261662.42,High,2023-12-13,483
SME_0350,Retail,Midlands,28,706273.98,Medium,2022-08-16,566
SME_0351,Services,North West,197,74467.81,Low,2023-09-01,750
SME_0352,Retail,South East,131,345823.79,High,2022-03-10,511
SME_0353,Services,Scotland,36,826207.67,Medium,2022-03-01,631
SME_0354,Services,North West,90,279861.68,Medium,2022-09-03,554
SME_0355,Services,London,183,516357.17,Medium,2021-09-24,619
SME_0356,Services,Scotland,79,188840.81,Medium,2022-12-05,601
SME_0357,Technology,Scotland,37,384525.02,Low,2024-06-06,684
SME_0358,Technology,South East,175,128116.34,Low,2022-09-23,806
SME_0359,Services,Midlands,190,54774.43,Medium,2022-03-23,664
SME_0360,Services,Midlands,195,960014.1,Low,2024-03-16,742
SME_0361,Healthcare,Midlands,191,180319.24,Low,2024-03-13,686
SME_0362,Retail,,174,284221.59,Low,2023-09-14,661
SME_0363,Retail,Scotland,91,99564.46,Medium,2022-01-11,523
SME_0364,Retail,North West,39,97160.55,Medium,2022-12-16,579
SME_0365,Services,South East,123,322457.45,Low,2021-08-23,639
SME_0366,Manufacturing,South East,44,253976.98,Low,2021-12-11,741
SME_0367,Technology,London,95,549424.34,Low,2022-11-17,706
SME_0368,Services,Midlands,131,470986.35,Medium,2022-07-07,578
SME_0369,Manufacturing,Midlands,189,512354.04,Low,2023-07-14,675
SME_0370,Healthcare,Midlands,58,424606.18,Medium,2024-03-28,641
SME_0371,Technology,South East,51,1144886.31,High,2023-05-03,557
SME_0372,Retail,,147,154386.18,Low,2022-10-08,617
SME_0373,Manufacturing,London,2,296937.43,Medium,2023-12-21,570
SME_0374,Manufacturing,South East,113,860288.06,Medium,2023-11-08,643
SME_0375,Retail,,149,881978.67,Medium,2024-06-16,612
SME_0376,Retail,Midlands,110,104776.28,Medium,2022-05-09,573
SME_0377,Healthcare,Midlands,77,298572.53,Low,2021-11-13,692
SME_0378,Manufacturing,,165,774765.36,High,2022-01-29,479
SME_0379,Manufacturing,Scotland,74,533976.01,Low,2023-05-23,675
SME_0380,Technology,South East,142,373337.46,Medium,2022-10-07,551
SME_0381,Services,Scotland,93,242303.06,High,2021-09-08,569
SME_0382,Healthcare,London,6,256940.45,Medium,2022-10-09,604
SME_0383,Technology,Scotland,106,463063.45,Low,2023-08-21,697
SME_0384,Services,Scotland,10,244984.63,Medium,2023-07-06,567
SME_0385,Manufacturing,Scotland,186,376471.64,Low,2022-05-16,651
SME_0386,Healthcare,Scotland,120,352102.86,Medium,2023-03-13,582
SME_0387,Technology,South East,75,194245.92,Medium,2022-01-19,619
SME_0388,Healthcare,South East,97,539006.15,Medium,2021-12-21,651
SME_0389,Retail,,124,3210211.54,Medium,2024-05-25,567
SME_0390,Technology,Midlands,52,88157.79,Low,2022-05-21,644
SME_0391,Services,North West,58,386346.93,Medium,2023-06-03,569
SME_0392,Retail,Scotland,84,184532.13,Low,2022-12-24,610
SME_0393,Services,Scotland,52,541473.52,Medium,2023-09-23,577
SME_0394,Services,London,151,294246.4,Medium,2023-06-04,509
SME_0395,Retail,,21,361907.85,High,2023-07-15,415
SME_0396,Manufacturing,North West,165,888721.34,Medium,2024-05-10,648
SME_0397,Technology,South East,70,399951.29,Medium,2022-03-18,652
SME_0398,Manufacturing,North West,112,817230.98,Medium,2024-01-31,614
SME_0399,Manufacturing,Midlands,32,48250.09,Low,2023-05-27,580
SME_0400,Manufacturing,London,77,1201855.02,Medium,2023-12-09,622
SME_0401,Manufacturing,London,151,521611.68,Low,2024-01-13,656
SME_0402,Healthcare,Midlands,54,765535.4,Medium,2023-05-30,581
SME_0403,Technology,Scotland,27,106243.08,Medium,2021-10-23,507
SME_0404,Retail,South East,104,132472.38,Medium,2021-09-26,462
SME_0405,Healthcare,South East,33,413628.93,Medium,2023-05-21,655
SME_0406,Healthcare,London,63,403650.09,Low,2023-01-09,709
SME_0407,Manufacturing,,90,389519.58,Medium,2021-08-13,584
SME_0408,Technology,Midlands,113,550879.47,High,2023-10-25,470
SME_0409,Retail,London,128,57056.6,High,2021-09-26,467
SME_0410,Healthcare,Scotland,135,767855.19,Low,2024-03-11,639
SME_0411,Services,London,169,345434.36,Medium,2023-11-04,611
SME_0412,Services,Midlands,14,265558.71,Medium,2023-07-07,580
SME_0413,Retail,Scotland,73,93656.0,Medium,2024-05-24,539
SME_0414,Healthcare,Midlands,1,507086.49,Medium,2022-02-11,616
